ลำดับ	เลขทะเบียนเดิม	FID	ชื่อโรงงาน	ประกอบกิจการ	เลขที่	หมู่	ซอย	ถนน	ตำบล	อำเภอ	จังหวัด	ไปรษณีย์	โทรศัพท์	เงินทุน	คนงาน	แรงม้า
2057	น.64(13)-1/2554-ญปฉ.	7.23E+13	บริษัท ทสุตะ(ประเทศไทย)จำกัด	ผลิตชิ้นส่วนโลหะที่ทำจากอลูมิเนียมสำหรับรถยนต์และรถจักรยายยนต์	150/57	9		สายหนองค้อ-แหลมฉบัง	หนองขาม	ศรีราชา	ชลบุรี	20110		90319999	30	285.89
2058	น.41(2)-2/2552-นปท.	8.22E+13	บริษัท ซึจิกาว่า (ไทยแลนด์) จำกัด	ผลิตแบบพิมพ์และอุปกรณ์ช่วยในการพิมพ์และการตัดรวมถึงการบำรุงรักษาและซ่อมแซม	789/19	1			หนองขาม	ศรีราชา	ชลบุรี	20110	038-348398	66283000	25	379.76
2059	3-53(5)-37/51ชบ	1.02E+13	บริษัท ที แอนด์ เอ็ม แมนูแฟคเจอริ่ง (ประเทศไทย) จำกัด	"ผลิตผลิตภัณฑ์พลาสติก เช่น ชิ้นส่วนอีเล็คทรอนิค, ชิ้นส่วนอุปกรณ์รถยนต์"	622/1	11	-	-	หนองขาม	ศรีราชา	ชลบุรี	20110	038-481982	40000000	121	834.31
2060	จ3-63(2)-24/51ชบ	2.02E+13	บริษัท เจพีเอ็มเอส จำกัด	"ผลิตโครงสร้างเหล็ก,ท่ออุตสาหกรรม,ทำถัง,ผลิตและประกอบชิ้นส่วนเครื่องจักร"	555	7			หนองขาม	ศรีราชา	ชลบุรี	20110	038-066452	128890000	426	235.56
2061	จ3-61-2/52ชบ	2.02E+13	บริษัท ชูไก แพคเกจจิ้ง จำกัด	ทำเครื่องมือ เครื่องใช้จากเหล็ก เช่น แผ่นรองรับสินค้า และกลึง เจาะ คว้าน กัด ไส เจียน หรือเชื่อมโลหะทั่วไป	99/9	5			หนองขาม	ศรีราชา	ชลบุรี	20110		400000	24	162.5
2062	3-47(1)-5/52ชบ	1.02E+13	บริษัท ยามาฮัทสึ (ประเทศไทย) จำกัด	ผลิตเครื่องสำอางหรือสิ่งปรุงแต่งร่างกาย ทำสบู่ วัสดุสังเคราะห์ สำหรับซักฟอก แชมพู	600/48	11	-	สุขาภิบาล 8	หนองขาม	ศรีราชา	ชลบุรี	20110		256800000	109	1146.95
2063	น.77(2)-1/2556-นปฉ.	8.23E+13	บริษัท ฮิโรมิทซึ เทคโนอาร์ท (ประเทศไทย) จำกัด	ผลิตชิ้นส่วนโลหะแม่พิมพ์ชิ้นส่วนรถยนต์	6/126	2	-	สายหนองค้อ-แหลมฉบัง	หนองขาม	ศรีราชา	ชลบุรี	20110	38347355	56084000	33	745.37
2064	จ3-58(1)-218/56ชบ	2.02E+13	บริษัท อาร์ ซี บี เทรดดิ้ง จำกัด	ผลิตคอนกรีตผสมเสร็จ	609/3	1			หนองขาม	ศรีราชา	ชลบุรี	20110		8000000	8	162.63
2065	น.72-10/2555-ญปค.	7.24E+13	บริษัท ยามาซากิ อิเล็กทรอนิกส์ (ประเทศไทย) จำกัด	ประกอบแผ่นวงจรอิเล็กทรอนิกส์(PrintedCircuitBoard)				สายหนองค้อ-แหลมฉบัง	หนองขาม	ศรีราชา	ชลบุรี	20110		201145000	24	204.79
2066	จ3-95(1)-105/57ชบ	2.02E+13	บริษัท คริสเตียนีและนีลเส็น (ไทย) จำกัด (มหาชน)	ซ่อมรถบรรทุกและทำส่วนประกอบสำหรับใช้ในการก่อสร้างอาคาร	494	7			หนองขาม	ศรีราชา	ชลบุรี	20110	038-066426	1107900000	108	221.6
2067	จ3-64(13)-7/57ชบ	2.02E+13	บริษัท ยูเนี่ยน คอนสตรัคชั่นแอนด์ซัพพลาย จำกัด	งานเชื่อมเหล็ก โครงสร้าง ภาชนะแรงดัน ท่อ ประกอบติดตั้ง และงานเจาะ เจียน	389/66	4			หนองขาม	ศรีราชา	ชลบุรี	20110	038-766122	26000000	40	335.75
2068	3-63(1)-1/56ชบ	1.02E+13	บริษัท วิศวกิจพัฒนา จำกัด	ผลิตชิ้นส่วนโครงสร้างเหล็ก		1			หนองขาม	ศรีราชา	ชลบุรี	20110		135000000	74	1190.4
2069	น.67(7)-3/2555-ญปค.	7.24E+13	บริษัท โทโก ทูล แอนด์ ดาย จำกัด	"ผลิตและซ่อมแซมแม่พิมพ์และชิ้นส่วนอุปกรณ์แม่พิมพ์, ซื้อมาขายไปแม่พิมพ์และชิ้นส่วนอุปกรณ์แม่พิมพ์"				สายหนองค้อ-แหลมฉบัง	หนองขาม	ศรีราชา	ชลบุรี	20110		143600000	15	335.2
2070	จ3-77(1)-20/57ชบ	2.02E+13	บริษัท โพคัล อินเตอร์เนชั่นแนล (ประเทศไทย) จำกัด	สร้าง ประกอบ ดัดแปลง หรือเปลี่ยนแปลงสภาพรถยนต์หรือรถพ่วง	309/2	3		วัดเขาดินบน	หนองขาม	ศรีราชา	ชลบุรี	20110	038-348292	56080000	22	324.23
2071	น.77(2)-4/2555-นปท.	8.22E+13	บริษัท ซากูไร เอ็มเอฟจี (ไทยแลนด์) จำกัด	ผลิตชิ้นส่วนรถยนต์และรถจักรยานยนต์	789/151	1			หนองขาม	ศรีราชา	ชลบุรี	20110		0	5	643
2072	น.64(14)-1/2554-นปท.	8.22E+13	บริษัท โอคุมะ อินด์ (ไทยแลนด์) จำกัด	ผลิตและจำหน่าย แผ่นโลหะ ชิ้นส่วนโลหะ รวมทั้งแม่พิมพ์ ชิ้นส่วนแม่พิมพ์ อะไหล่ของโลหะที่ใช้กับยานพาหนะและเครื่องจักร	789/161 นิคมฯ ปิ่นทอง	1			หนองขาม	ศรีราชา	ชลบุรี	20110		0	27	663.32
2073	น.77(2)-11/2554-นปฉ.	8.23E+13	บริษัท ปัญจวัฒนาพลาสติก จำกัด (มหาชน)	ผลิตบรรจุภัณฑ์พลาสติกและชิ้ส่วนยายนยนต์ที่ทำจากพลาสติก	150/62	9			หนองขาม	ศรีราชา	ชลบุรี	20110		0	325	3972
2074	น.53(1)-1/2554-นปท.	8.22E+13	บริษัท โอเอะ (ไทยแลนด์) จำกัด	ฉีดขึ้นรูปพลาสติก	789/167	1			หนองขาม	ศรีราชา	ชลบุรี	20110		0	50	415.75
2075	น.77(2)-16/2554-นปท.	8.22E+13	บริษัท มิเอะ เซกิ (ประเทศไทย) จำกัด	ผลิตและจำหน่ายชิ้นส่วนโลหะสำหรับยานยนต์เครื่องใช้ไฟฟ้าอุปกรณ์อิเล็กทรอนิกส์และอื่นๆ	789/174	1			หนองขาม	ศรีราชา	ชลบุรี	20110	038-348569	268045000	71	1112.77
2076	3-8(2)-1/22ชบ	1.02E+13	บริษัท สหชลผลพืช จำกัด	ผลิตขิงดอง หอมดอง แตงกวาดอง ผักดองสำเร็จรูป ผลิตภัณฑ์จากหัวมันบุก และผลิตภัณฑ์อาหารจากแป้ง	600/1	5		สุขาภิบาล 8	หนองขาม	ศรีราชา	ชลบุรี	20110	311682	21500000	215	3820.68
2077	ส3-24-1/33ชบ	2.00E+11	บริษัท บางกอกโตเกียว ซ็อคส์ จำกัด	ทอถุงเท้า	673	5		สุขาภิบาล 8	หนองขาม	ศรีราชา	ชลบุรี	20110		241900000	256	2430.15
2078	3-77(2)-1/35ชบ	1.02E+13	บริษัท ไทยอาราอิ จำกัด	ผลิตชิ้นส่วนรถยนต์ รถจักรยานยนต์ และชิ้นส่วนเครื่องอิเล็คทรอนิกส์	623/1-2	11		สุขาภิบาล 8	หนองขาม	ศรีราชา	ชลบุรี	20110	2118568	227687725	270	1549.38
2079	3-55-2/35ชบ	1.02E+13	บริษัท มงคลวีระชัย จำกัด	ผลิตกระเบื้องเซรามิคมุงหลังคา และกำแพง	99	8		วัดหินกอง	หนองขาม	ศรีราชา	ชลบุรี	20110		4950000	9	218.8
2080	3-53(4)-1/41ชบ	1.02E+13	บริษัท โตโย ไซกัน (ประเทศไทย) จำกัด	ผลิตผลิตภัณฑ์พลาสติกและเคลือบพลาสติก	602	11		หนองขาม	หนองขาม	ศรีราชา	ชลบุรี	20110	038-763463	117000000	428	3405.2
